no,troncon_associe,nom,type,description,cours_eau,superficie,latitude,longitude,regime,etat,lien_historique,lien_suivi_hydro,prev_hydrologique,prev_hydraulique,debut,fin,combinaison
"011002","GASP00714","Cascapédia","Débit","à 1,3 km en amont de l'Angers","Cascapédia, Rivière",2400.0,48.3178013298,-65.9717575662,"Non influencé","Fermée","https://www.cehq.gouv.qc.ca/hydrometrie/historique_donnees/fiche_station.asp?NoStation=011002","S.O.","S.O.","S.O.",1968,1972,""
"011003","GASP00723","Cascapédia","Débit","à 2,5 km en aval du ruisseau Berry","Cascapédia, Rivière",1690.0,48.6291111111,-66.1660555556,"Non influencé","Ouverte","https://www.cehq.gouv.qc.ca/hydrometrie/historique_donnees/fiche_station.asp?NoStation=011003","https://cehq.gouv.qc.ca/suivihydro/graphique.asp?NoStation=011003","https://cehq.gouv.qc.ca/suivihydro/graphique.asp?NoStation=011003","S.O.",1978,"","011003, 011001"
"011201","GASP01440","Nouvelle","Débit","au pont-route 132 à Nouvelle","Nouvelle, Rivière",1140.0,48.1572464001,-66.3487185374,"Non influencé","Fermée","https://www.cehq.gouv.qc.ca/hydrometrie/historique_donnees/fiche_station.asp?NoStation=011201","S.O.","S.O.","S.O.",1964,2001,"011204, 011201"
"011202","-","Nouvelle","Niveau","à 4,0 km en aval du pont-route 132","Nouvelle, Rivière",1160.0,48.1355799383,-66.3187174062,"Non influencé","Fermée","https://www.cehq.gouv.qc.ca/hydrometrie/historique_donnees/fiche_station.asp?NoStation=011202","S.O.","S.O.","S.O.",1967,1970,""
"011203","-","Nouvelle","Niveau","à 2,7 km en amont du pont-route 132","Nouvelle, Rivière",867.0,48.1616908446,-66.3795529878,"Non influencé","Fermée","https://www.cehq.gouv.qc.ca/hydrometrie/historique_donnees/fiche_station.asp?NoStation=011203","S.O.","S.O.","S.O.",1967,1970,""
"011204","GASP01440","Nouvelle","Débit","à 0,2 km en amont du pont-route 132 à Nouvelle","Nouvelle, Rivière",1139.0,48.1587777778,-66.3488333333,"Non influencé","Ouverte","https://www.cehq.gouv.qc.ca/hydrometrie/historique_donnees/fiche_station.asp?NoStation=011204","https://cehq.gouv.qc.ca/suivihydro/graphique.asp?NoStation=011204","https://cehq.gouv.qc.ca/suivihydro/graphique.asp?NoStation=011204","S.O.",2002,"","011204, 011201"
"011502","-","Lac Matapédia","Niveau","à Val-Brillant","Matapédia, Lac",558.0,48.5339174164,-67.5448717717,"Non influencé","Fermée","https://www.cehq.gouv.qc.ca/hydrometrie/historique_donnees/fiche_station.asp?NoStation=011502","S.O.","S.O.","S.O.",1966,1983,"011508, 011502"
"011507","GASP00941","Matapédia","Débit","à 1,0 km en amont de l'Assemetquagan","Matapédia, Rivière",2760.0,48.0886111111,-67.1005555556,"Non influencé","Fermée","https://www.cehq.gouv.qc.ca/hydrometrie/historique_donnees/fiche_station.asp?NoStation=011507","S.O.","S.O.","S.O.",1968,1999,"011509, 011507"
"011508","GASP00990","Décharge du lac Matapédia","Débit et Niveau","au pont couvert en amont d'Amqui","Matapédia, Rivière",555.0,48.4917222222,-67.4488333333,"Non influencé","Ouverte","https://www.cehq.gouv.qc.ca/hydrometrie/historique_donnees/fiche_station.asp?NoStation=011508","https://cehq.gouv.qc.ca/suivihydro/graphique.asp?NoStation=011508","S.O.","S.O.",1982,"","011508, 011502"
"011509","GASP00941","Matapédia","Débit","à 4.0 km en amont de l'Assemetquagan","Matapédia, Rivière",2753.0,48.1078888889,-67.1302222222,"Non influencé","Ouverte","https://www.cehq.gouv.qc.ca/hydrometrie/historique_donnees/fiche_station.asp?NoStation=011509","https://cehq.gouv.qc.ca/suivihydro/graphique.asp?NoStation=011509","https://cehq.gouv.qc.ca/suivihydro/graphique.asp?NoStation=011509","S.O.",1996,"","011509, 011507"
"011702","-","Madawaska","Débit","à 3,1 km en aval du barrage du lac Témiscouata","Madawaska, Rivière",2690.0,47.5511111111,-68.6377777778,"Influencé","Fermée","https://www.cehq.gouv.qc.ca/hydrometrie/historique_donnees/fiche_station.asp?NoStation=011702","S.O.","S.O.","S.O.",1918,2005,"011707, 011702"
"011704","-","Lac Long","Niveau","à les Étroits","Long, Lac",108.0,47.3908553398,-68.8977124918,"Non influencé","Fermée","https://www.cehq.gouv.qc.ca/hydrometrie/historique_donnees/fiche_station.asp?NoStation=011704","S.O.","S.O.","S.O.",1972,1974,""
"011706","-","Cabano","Niveau","à la sortie du lac Long","Cabano, Rivière",172.0,47.4644685252,-69.0013255794,"Non influencé","Fermée","https://www.cehq.gouv.qc.ca/hydrometrie/historique_donnees/fiche_station.asp?NoStation=011706","S.O.","S.O.","S.O.",1973,1982,""
"030356","MONT00071","Le Renne","Débit et Niveau","à Acton Vale","Renne, Rivière le",197.0,45.652741,-72.557057,"Non influencé","Ouverte","https://www.cehq.gouv.qc.ca/hydrometrie/historique_donnees/fiche_station.asp?NoStation=030356","https://cehq.gouv.qc.ca/suivihydro/graphique.asp?NoStation=030356","https://cehq.gouv.qc.ca/suivihydro/graphique.asp?NoStation=030356","S.O.",2022,"",""
"013001","-","Daaquam","Débit","au pont-route à 1,6 km en aval de la Shidgel","Daaquam, Rivière",598.0,46.5575259693,-70.0805521932,"Non influencé","Fermée","https://www.cehq.gouv.qc.ca/hydrometrie/historique_donnees/fiche_station.asp?NoStation=013001","S.O.","S.O.","S.O.",1967,1977,""
"013103","-","Lac Pohénégamook","Niveau","à Estcourt","Pohénégamook, Lac",389.0,47.4600251974,-69.2249444294,"Non influencé","Fermée","https://www.cehq.gouv.qc.ca/hydrometrie/historique_donnees/fiche_station.asp?NoStation=013103","S.O.","S.O.","S.O.",1968,1982,""
"013105","-","Lac Pohénégamook","Niveau","au Centre des loisirs Guy-Pelletier","Pohénégamook, Lac",388.0,47.491784,-69.282449,"À déterminer","Ouverte","https://www.cehq.gouv.qc.ca/hydrometrie/historique_donnees/fiche_station.asp?NoStation=013105","https://cehq.gouv.qc.ca/suivihydro/graphique.asp?NoStation=013105","S.O.","S.O.",2022,"",""
"020301","GASP02049","Saint-Jean","Débit","à 4,5 km en amont du pont-route 132","Saint-Jean, Rivière",1090.0,48.7716914366,-64.5205895503,"Non influencé","Fermée","https://www.cehq.gouv.qc.ca/hydrometrie/historique_donnees/fiche_station.asp?NoStation=020301","S.O.","S.O.","S.O.",1979,1989,"020302, 020301"
"020302","-","Saint-Jean","Débit","à 4,0 km en amont du pont-route 132","Saint-Jean, Rivière",1090.0,48.7690555556,-64.5157222222,"Non influencé","Fermée","https://www.cehq.gouv.qc.ca/hydrometrie/historique_donnees/fiche_station.asp?NoStation=020302","S.O.","S.O.","S.O.",1989,2006,"020302, 020301"
"020401","GASP02165","York","Débit","à 4,3 km en amont du pont-route 132 à Sunny Bank","York, Rivière",1010.0,48.8341388889,-64.6280555556,"Non influencé","Fermée","https://www.cehq.gouv.qc.ca/hydrometrie/historique_donnees/fiche_station.asp?NoStation=020401","S.O.","S.O.","S.O.",1945,1981,"020404, 020401"
"020404","GASP02179","York","Débit","à 1,4 km en aval du ruisseau Dinner Island","York, Rivière",647.0,48.8069166667,-64.9165277778,"Non influencé","Ouverte","https://www.cehq.gouv.qc.ca/hydrometrie/historique_donnees/fiche_station.asp?NoStation=020404","https://cehq.gouv.qc.ca/suivihydro/graphique.asp?NoStation=020404","https://cehq.gouv.qc.ca/suivihydro/graphique.asp?NoStation=020404","S.O.",1980,"","020404, 020401"
"020502","GASP00038","Au Renard","Débit","à 4,7 km de l'embouchure","Renard, Rivière au",59.8,48.9821944444,-64.4268055556,"Non influencé","Fermée","https://www.cehq.gouv.qc.ca/hydrometrie/historique_donnees/fiche_station.asp?NoStation=020502","S.O.","S.O.","S.O.",1977,1997,""
"020503","-","Au Renard","Niveau","au pont-route 196 à 3 km de l'embouchure","Renard, Rivière au",64.33,48.988528,-64.418765,"Non influencé","Ouverte","https://www.cehq.gouv.qc.ca/hydrometrie/historique_donnees/fiche_station.asp?NoStation=020503","https://cehq.gouv.qc.ca/suivihydro/graphique.asp?NoStation=020503","S.O.","S.O.",2022,"",""
"020601","GASP02292","Dartmouth","Débit","à 8,2 km en amont du pont-route 132 près de Cortereal","Dartmouth, Rivière",748.0,48.9330555556,-64.6355555556,"Non influencé","Fermée","https://www.cehq.gouv.qc.ca/hydrometrie/historique_donnees/fiche_station.asp?NoStation=020601","S.O.","S.O.","S.O.",1945,1969,"020602, 020601"
"020602","GASP02294","Dartmouth","Débit et Niveau","à 1,6 km en amont du Ruisseau du Pas de Dame","Dartmouth, Rivière",626.0,48.9776666667,-64.6996944444,"Non influencé","Ouverte","https://www.cehq.gouv.qc.ca/hydrometrie/historique_donnees/fiche_station.asp?NoStation=020602","https://cehq.gouv.qc.ca/suivihydro/graphique.asp?NoStation=020602","https://cehq.gouv.qc.ca/suivihydro/graphique.asp?NoStation=020602","S.O.",1970,"","020602, 020601"
"020701","GASP02406","De la Grande Vallée","Débit","à 5,6 km de l'estuaire","Grande Vallée, Rivière de la",128.0,49.1886111111,-65.1522222222,"Non influencé","Fermée","https://www.cehq.gouv.qc.ca/hydrometrie/historique_donnees/fiche_station.asp?NoStation=020701","S.O.","S.O.","S.O.",1989,1995,""
"020802","GASP02420","Madeleine","Débit","à 5,1 km en amont du pont-route 132 à Rivière-la-Madeleine","Madeleine, Rivière",1200.0,49.2028055818,-65.2947801041,"Non influencé","Fermée","https://www.cehq.gouv.qc.ca/hydrometrie/historique_donnees/fiche_station.asp?NoStation=020802","S.O.","S.O.","S.O.",1953,1996,""
"021403","GASP02724","Sainte-Anne","Débit","à 0,6 km en amont de la Sainte-Anne (Nord-Est)","Sainte-Anne, Rivière",208.0,48.9464155769,-66.1264761799,"Non influencé","Fermée","https://www.cehq.gouv.qc.ca/hydrometrie/historique_donnees/fiche_station.asp?NoStation=021403","S.O.","S.O.","S.O.",1968,1971,""
"021405","GASP02667","Sainte-Anne","Débit","à 8,4 km en amont du pont-route 132","Sainte-Anne, Rivière",786.0,49.0653056781,-66.4931598377,"Non influencé","Fermée","https://www.cehq.gouv.qc.ca/hydrometrie/historique_donnees/fiche_station.asp?NoStation=021405","S.O.","S.O.","S.O.",1968,1975,"021407, 021405"
"021407","GASP02669","Sainte-Anne","Débit","à 9,7 km en amont du pont-route 132","Sainte-Anne, Rivière",772.0,49.0436944444,-66.4759444444,"Non influencé","Ouverte","https://www.cehq.gouv.qc.ca/hydrometrie/historique_donnees/fiche_station.asp?NoStation=021407","https://cehq.gouv.qc.ca/suivihydro/graphique.asp?NoStation=021407","https://cehq.gouv.qc.ca/suivihydro/graphique.asp?NoStation=021407","S.O.",1973,"","021407, 021405"
"021502","GASP02747","Cap-Chat","Débit","à 5,3 km en amont du pont-route 132 à Cap-Chat","Cap-Chat, Rivière",721.0,49.0556666667,-66.6691666667,"Non influencé","Fermée","https://www.cehq.gouv.qc.ca/hydrometrie/historique_donnees/fiche_station.asp?NoStation=021502","S.O.","S.O.","S.O.",1966,1996,""
"021601","GASP02850","Matane","Débit","à 8,5 km en amont du pont-route 132 à Matane","Matane, Rivière",1655.0,48.7736666667,-67.5401944444,"Peu influencé","Ouverte","https://www.cehq.gouv.qc.ca/hydrometrie/historique_donnees/fiche_station.asp?NoStation=021601","https://cehq.gouv.qc.ca/suivihydro/graphique.asp?NoStation=021601","https://cehq.gouv.qc.ca/suivihydro/graphique.asp?NoStation=021601","S.O.",1926,"","021601, 021602"
"021602","GASP02848","Matane","Débit","à 4,5 km en amont du pont-route 132 à Matane","Matane, Rivière",1680.0,48.818361824,-67.5390365831,"Peu influencé","Fermée","https://www.cehq.gouv.qc.ca/hydrometrie/historique_donnees/fiche_station.asp?NoStation=021602","S.O.","S.O.","S.O.",1922,1926,"021601, 021602"
"021605","-","Barrage Mathieu-D'Amours","Niveau","sur la rive gauche, du côté Ouest du barrage","Matane, Rivière",1685.0,48.8433611111,-67.5293611111,"Influencé","Ouverte","https://www.cehq.gouv.qc.ca/hydrometrie/historique_donnees/fiche_station.asp?NoStation=021605","https://cehq.gouv.qc.ca/suivihydro/graphique.asp?NoStation=021605","S.O.","S.O.",1971,"",""
"021606","-","Étang à la Truite","Niveau","dans la réserve faunique de Matane","Truite, Étang à la",34.4,48.6790603139,-66.7864416335,"Influencé","Fermée","https://www.cehq.gouv.qc.ca/hydrometrie/historique_donnees/fiche_station.asp?NoStation=021606","S.O.","S.O.","S.O.",1971,2002,""
"021607","-","Lac Matane","Niveau","dans la réserve faunique de Matane","Matane, Lac",147.0,48.6902747947,-66.9721310436,"Influencé","Fermée","https://www.cehq.gouv.qc.ca/hydrometrie/historique_donnees/fiche_station.asp?NoStation=021607","S.O.","S.O.","S.O.",1971,2003,""
"021608","-","Lac Duvivier","Niveau","dans la réserve faunique de Matane","Duvivier, Lac",21.8,48.6984206648,-67.1461072449,"Influencé","Fermée","https://www.cehq.gouv.qc.ca/hydrometrie/historique_donnees/fiche_station.asp?NoStation=021608","S.O.","S.O.","S.O.",1979,2003,""
"021609","-","Barrage Mathieu-D'Amours 2","Niveau","à l'amont du barrage dans le bras Est de la rivière Matane","Matane, Rivière",1685.0,48.8425888889,-67.5288111111,"Influencé","Fermée","https://www.cehq.gouv.qc.ca/hydrometrie/historique_donnees/fiche_station.asp?NoStation=021609","S.O.","S.O.","S.O.",2009,2013,""
"021701","-","Blanche","Débit","à 3,5 km en amont du pont-route 132","Blanche, Rivière",208.0,48.7675287063,-67.6651522622,"Peu influencé","Fermée","https://www.cehq.gouv.qc.ca/hydrometrie/historique_donnees/fiche_station.asp?NoStation=021701","S.O.","S.O.","S.O.",1933,1966,"021702, 021701"
"021702","GASP03025","Blanche","Débit","à 3,5 km en amont du pont-route 132","Blanche, Rivière",223.0,48.7670555556,-67.6660277778,"Peu influencé","Ouverte","https://www.cehq.gouv.qc.ca/hydrometrie/historique_donnees/fiche_station.asp?NoStation=021702","https://cehq.gouv.qc.ca/suivihydro/graphique.asp?NoStation=021702","S.O.","S.O.",1967,"","021702, 021701"
"021908","-","Mitis","Niveau","à  2,1 km en aval de la Mistigougèche","Mitis, Rivière",1080.0,48.4616949476,-68.0187812499,"Influencé","Fermée","https://www.cehq.gouv.qc.ca/hydrometrie/historique_donnees/fiche_station.asp?NoStation=021908","S.O.","S.O.","S.O.",1946,1966,""
"021909","-","Mitis","Niveau","à 0,2 km en amont de la Mistigougèche","Mitis, Rivière",573.0,48.4486393009,-68.0018362422,"Influencé","Fermée","https://www.cehq.gouv.qc.ca/hydrometrie/historique_donnees/fiche_station.asp?NoStation=021909","S.O.","S.O.","S.O.",1925,1970,""
"021914","-","Mitis","Niveau","à 1,0 km en aval de la Mistigougèche","Mitis, Rivière",1040.0,48.4561393491,-68.0098920556,"Influencé","Fermée","https://www.cehq.gouv.qc.ca/hydrometrie/historique_donnees/fiche_station.asp?NoStation=021914","S.O.","S.O.","S.O.",1970,1972,""
"021915","GASP03127","Neigette","Débit","à 3,7 km de la Mitis","Neigette, Rivière",494.0,48.5176661298,-68.1595898871,"Non influencé","Fermée","https://www.cehq.gouv.qc.ca/hydrometrie/historique_donnees/fiche_station.asp?NoStation=021915","S.O.","S.O.","S.O.",1974,1998,""
"021916","GASP03139","Petite rivière Neigette","Débit","à 0,5 km en aval  du lac à la Peinture","Neigette, Petite rivière",98.6,48.4197222222,-68.3561111111,"Non influencé","Ouverte","https://www.cehq.gouv.qc.ca/hydrometrie/historique_donnees/fiche_station.asp?NoStation=021916","https://cehq.gouv.qc.ca/suivihydro/graphique.asp?NoStation=021916","S.O.","S.O.",2000,"",""
"022001","-","Rimouski","Débit","à 3,7 km en amont du pont-route 132","Rimouski, Rivière",1610.0,48.4125285854,-68.5549143926,"Influencé","Fermée","https://www.cehq.gouv.qc.ca/hydrometrie/historique_donnees/fiche_station.asp?NoStation=022001","S.O.","S.O.","S.O.",1923,1962,"022003, 022001"
"022003","GASP03334","Rimouski","Débit et Niveau","à 3,7 km en amont du pont-route 132","Rimouski, Rivière",1615.0,48.4127777778,-68.5550222222,"Peu influencé","Ouverte","https://www.cehq.gouv.qc.ca/hydrometrie/historique_donnees/fiche_station.asp?NoStation=022003","https://cehq.gouv.qc.ca/suivihydro/graphique.asp?NoStation=022003","https://cehq.gouv.qc.ca/suivihydro/graphique.asp?NoStation=022003","S.O.",1962,"","022003, 022001"
"022301","GASP03654","Des Trois-Pistoles","Débit","à 2,1 km en amont du pont-route 132","Trois Pistoles, Rivière des",930.0,48.0891666667,-69.1952777778,"Peu influencé","Ouverte","https://www.cehq.gouv.qc.ca/hydrometrie/historique_donnees/fiche_station.asp?NoStation=022301","https://cehq.gouv.qc.ca/suivihydro/graphique.asp?NoStation=022301","https://cehq.gouv.qc.ca/suivihydro/graphique.asp?NoStation=022301","S.O.",1923,"",""
"022501","-","Barrage Morin","Niveau","au lac Morin à Saint-Alexandre-de-Kamouraska","Morin, Lac",265.0,47.6497222222,-69.5097222222,"Influencé","Ouverte","https://www.cehq.gouv.qc.ca/hydrometrie/historique_donnees/fiche_station.asp?NoStation=022501","https://cehq.gouv.qc.ca/suivihydro/graphique.asp?NoStation=022501","S.O.","S.O.",1964,"",""
"022502","-","Du Loup","Débit","à 0,6 km en amont du pont-route 185","Loup, Rivière du",1050.0,47.8228078721,-69.5188458732,"Influencé","Fermée","https://www.cehq.gouv.qc.ca/hydrometrie/historique_donnees/fiche_station.asp?NoStation=022502","S.O.","S.O.","S.O.",1923,1961,"022513, 022502"
"022503","-","Du Loup","Niveau","à 4,8 km en aval de la Fourchue","Loup, Rivière du",948.0,47.716141001,-69.5357923428,"Influencé","Fermée","https://www.cehq.gouv.qc.ca/hydrometrie/historique_donnees/fiche_station.asp?NoStation=022503","S.O.","S.O.","S.O.",1964,1968,""
"022504","GASP03812","Du Loup","Débit","à 10,8 km en amont du pont-route 289","Loup, Rivière du",500.0,47.5825292886,-69.6691294521,"Non influencé","Fermée","https://www.cehq.gouv.qc.ca/hydrometrie/historique_donnees/fiche_station.asp?NoStation=022504","S.O.","S.O.","S.O.",1955,1979,"022507, 022504"
"060603","SAGU00152","Bras Rocheux","Débit et Niveau","à 350 m de la confluence avec la rivière Ha! Ha!","Ha! Ha!, Rivière",120.68,48.245847,-70.842706,"Non influencé","Ouverte","https://www.cehq.gouv.qc.ca/hydrometrie/historique_donnees/fiche_station.asp?NoStation=060603","https://www.cehq.gouv.qc.ca/suivihydro/graphique.asp?NoStation=060603","https://www.cehq.gouv.qc.ca/suivihydro/graphique.asp?NoStation=060603","S.O.",2021,2022,""
"022506","-","Du Loup","Niveau","au pont-route 289","Loup, Rivière du",565.0,47.6603077135,-69.5888500398,"Non influencé","Fermée","https://www.cehq.gouv.qc.ca/hydrometrie/historique_donnees/fiche_station.asp?NoStation=022506","S.O.","S.O.","S.O.",1964,1975,""
"022507","GASP03811","Du Loup","Débit","au pont-route à Saint-Joseph-de-Kamouraska","Loup, Rivière du",515.0,47.612,-69.6446666667,"Non influencé","Ouverte","https://www.cehq.gouv.qc.ca/hydrometrie/historique_donnees/fiche_station.asp?NoStation=022507","https://cehq.gouv.qc.ca/suivihydro/graphique.asp?NoStation=022507","https://cehq.gouv.qc.ca/suivihydro/graphique.asp?NoStation=022507","S.O.",1978,"","022507, 022504"
"022508","-","Du Loup","Niveau","à 16,7 km en amont du pont-route 289","Loup, Rivière du",470.0,47.5778068843,-69.6444063895,"Non influencé","Fermée","https://www.cehq.gouv.qc.ca/hydrometrie/historique_donnees/fiche_station.asp?NoStation=022508","S.O.","S.O.","S.O.",1964,1972,""
"022509","-","Du Loup","Niveau","à 1,3 km en amont de la Fourchue","Loup, Rivière du",581.0,47.6778075756,-69.5455151446,"Non influencé","Fermée","https://www.cehq.gouv.qc.ca/hydrometrie/historique_donnees/fiche_station.asp?NoStation=022509","S.O.","S.O.","S.O.",1964,1975,""
"022510","-","Du Loup","Niveau","à 4,2 km en amont de la Fourchue","Loup, Rivière du",569.0,47.6722521341,-69.5677381995,"Non influencé","Fermée","https://www.cehq.gouv.qc.ca/hydrometrie/historique_donnees/fiche_station.asp?NoStation=022510","S.O.","S.O.","S.O.",1964,1972,""
"022511","-","Du Loup","Niveau","à 5,8 km en amont de la Fourchue","Loup, Rivière du",566.0,47.6650299734,-69.581349818,"Non influencé","Fermée","https://www.cehq.gouv.qc.ca/hydrometrie/historique_donnees/fiche_station.asp?NoStation=022511","S.O.","S.O.","S.O.",1964,1972,""
"022513","GASP03802","Du Loup","Débit","à 1.4 km en aval du pont-route 185","Loup, Rivière du",1042.0,47.8219444444,-69.5166666667,"Influencé","Ouverte","https://www.cehq.gouv.qc.ca/hydrometrie/historique_donnees/fiche_station.asp?NoStation=022513","https://cehq.gouv.qc.ca/suivihydro/graphique.asp?NoStation=022513","S.O.","S.O.",1961,"","022513, 022502"
"022514","-","Du Loup","Niveau","à 0,8 km en aval de la Fourchue","Loup, Rivière du",901.0,47.6936409522,-69.5430149583,"Influencé","Fermée","https://www.cehq.gouv.qc.ca/hydrometrie/historique_donnees/fiche_station.asp?NoStation=022514","S.O.","S.O.","S.O.",1965,1982,""
"022601","SLSO02878","Kamouraska","Débit","au pont du rang de l'Embarras","Kamouraska, Rivière",213.0,47.5326611111,-69.8493083333,"Peu influencé","Ouverte","https://www.cehq.gouv.qc.ca/hydrometrie/historique_donnees/fiche_station.asp?NoStation=022601","https://cehq.gouv.qc.ca/suivihydro/graphique.asp?NoStation=022601","S.O.","S.O.",2008,"",""
"022701","SLSO02791","Ouelle","Débit","à 2,3 km en aval du pont-route 230","Ouelle, Rivière",802.0,47.4197496225,-69.9488627795,"Peu influencé","Fermée","https://www.cehq.gouv.qc.ca/hydrometrie/historique_donnees/fiche_station.asp?NoStation=022701","S.O.","S.O.","S.O.",1921,1966,"022704, 022703, 022702, 022701"
"022702","SLSO02792","Ouelle","Débit","à 7,3 km en amont du pont-route 230","Ouelle, Rivière",790.0,47.3797494421,-69.9510857003,"Peu influencé","Fermée","https://www.cehq.gouv.qc.ca/hydrometrie/historique_donnees/fiche_station.asp?NoStation=022702","S.O.","S.O.","S.O.",1967,1970,"022704, 022703, 022702, 022701"
"022703","SLSO02794","Ouelle","Débit","au pont-route à Saint-Onésime-d'Ixworth","Ouelle, Rivière",783.0,47.360860425,-69.9438634739,"Non influencé","Fermée","https://www.cehq.gouv.qc.ca/hydrometrie/historique_donnees/fiche_station.asp?NoStation=022703","S.O.","S.O.","S.O.",1970,1981,"022704, 022703, 022702, 022701"
"022704","SLSO02792","Ouelle","Débit","à 2,7 km en aval du pont-route près de Saint-Gabriel-de-Kamouraska","Ouelle, Rivière",796.0,47.3810555556,-69.9539444444,"Non influencé","Ouverte","https://www.cehq.gouv.qc.ca/hydrometrie/historique_donnees/fiche_station.asp?NoStation=022704","https://cehq.gouv.qc.ca/suivihydro/graphique.asp?NoStation=022704","https://cehq.gouv.qc.ca/suivihydro/graphique.asp?NoStation=022704","S.O.",1982,"","022704, 022703, 022702, 022701"
"022901","-","Lac Trois Saumons","Niveau","au lac Trois Saumons à Saint-Aubert","Trois Saumons, Lac",15.0,47.1216941362,-70.2060999986,"Influencé","Fermée","https://www.cehq.gouv.qc.ca/hydrometrie/historique_donnees/fiche_station.asp?NoStation=022901","S.O.","S.O.","S.O.",1968,1990,""
"023002","SLSO02552","Boyer Sud","Débit","en amont du pont-route du rang Grande Grillade","Boyer Sud, Rivière",61.0,46.7075277778,-70.9605277778,"Non influencé","Ouverte","https://www.cehq.gouv.qc.ca/hydrometrie/historique_donnees/fiche_station.asp?NoStation=023002","https://cehq.gouv.qc.ca/suivihydro/graphique.asp?NoStation=023002","S.O.","S.O.",1993,"",""
