annee,seao,titre,organisme,adjudicataire,categorie
Année 2016,969558,Remplacement de la conduite de la rivière aux Saumons et fermeture des puits de Lennoxville,Ville de Sherbrooke,,C02 - Ouvrages de génie civil
Année 2016,986355,Services d'un signaleur avec un véhicule sur le territoire du Lac-au-Saumon.,"Ministère des Transports, de la Mobilité durable et ",,S14 - Services publics
Année 2016,1008373,Inventaire ichtyofaune 2015,Régie intermunicipale de restauration et de préserva,,S5 - Services environnementaux
Année 2017,1084963,Inventaire ichtyologiques plans nord Secteurs Manouane (R02) et Fermont (R09) - Hydravion,"Ministère des Forêts, de la Faune et des Parcs",,"S17 - Services de transport, d"
Année 2017,1089444,Aménagement d’une frayère artificielle à touladi dans le lac Chibougamau,"Ministère des Forêts, de la Faune et des Parcs",,C02 - Ouvrages de génie civil
Année 2017,1098883,Services professionnels en environnement - Caractérisation de l'habitat du poisson - Projet de p,Ville de Percé.,,S5 - Services environnementaux
Année 2019,283978,SIC 7105-08-HZ02 Surveillance &amp; suivi des aménagements d'habitat du poisson sur 4 tronçons -,Ministère des Transports (Direction des contrats de ,,S14 - Services publics
Année 2019,1204997,Location de machinerie avec opérateur pour l'aménagement d'une frayère,Ville de Lévis.,,S18 - Location à bail / Locati
Année 2019,1266018,Projet de compensation de l'habitat du poisson,Ville de Saguenay,,
Année 2019,1264662,Rehaussement de la digue du barrage du Lac-des-Îles et mise en place d'une frayère de 230 m.ca,Municipalité d'Entrelacs.,,C02 - Ouvrages de génie civil
Année 2019,1272612,"Réfection du quai, de l’enrochement et de la barrière à dénombrement du saumon de la rivière Sai","Ministère des Forêts, de la Faune et des Parcs",,C03 - Autres travaux de constr
Année 2019,1302453,Surveillance des activités de pêche au saumon,"Ministère des Forêts, de la Faune et des Parcs",,S6 - Services de ressources na
Année 2019,1299039,Caractérisation d'une frayère artificielle en plongée subaquatique,"Ministère des Forêts, de la Faune et des Parcs",,S6 - Services de ressources na
Année 2019,1313134,"2403-19-AP78 - Acquisition de clôtures pare-neige de type Beilharz, incluant les accessoires et ",Ministère des Transports (Direction des contrats de ,,G6 - Matériaux de construction
